 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 



                               Node(  2)                      Node(  6)                      Node( 16)                      Node( 31)                      Node( 51)                      Node( 81)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
          1.0000     -289.84  0.3537 -0.229E+00       -305.98  0.3668 -0.185E+00       -327.97  0.3271 -0.112E+00       -334.52  0.3345 -0.840E-01       -331.48  0.3439 -0.870E-01       -338.14  0.3604 -0.570E-01
          2.0000     -339.05  0.3438 -0.225E-02       -333.95  0.3615 -0.368E-01       -333.87  0.3259 -0.822E-01       -338.82  0.3337 -0.859E-01       -336.17  0.3429 -0.803E-01       -341.92  0.3597 -0.586E-01
          3.0000     -359.89  0.3400  0.201E-02       -353.15  0.3578 -0.171E-01       -345.79  0.3236 -0.544E-01       -344.82  0.3325 -0.757E-01       -340.52  0.3420 -0.756E-01       -345.60  0.3590 -0.583E-01
          4.0000     -335.24  0.3446 -0.113E+00       -343.43  0.3596 -0.946E-01       -350.95  0.3225 -0.672E-01       -350.25  0.3314 -0.675E-01       -343.89  0.3413 -0.711E-01       -348.10  0.3585 -0.578E-01
          5.0000     -380.26  0.3363  0.231E-01       -370.49  0.3544 -0.672E-02       -362.27  0.3203 -0.472E-01       -359.35  0.3296 -0.611E-01       -351.80  0.3397 -0.649E-01       -355.23  0.3571 -0.548E-01
          6.0000     -408.71  0.3320  0.274E-01       -395.87  0.3500  0.115E-01       -379.09  0.3170 -0.259E-01       -371.05  0.3273 -0.503E-01       -361.66  0.3377 -0.582E-01       -364.25  0.3554 -0.508E-01
          7.0000     -435.31  0.3282  0.296E-01       -420.79  0.3463  0.165E-01       -399.00  0.3137 -0.107E-01       -384.26  0.3247 -0.374E-01       -372.23  0.3355 -0.511E-01       -373.77  0.3536 -0.466E-01
          8.0000     -460.65  0.3246  0.318E-01       -444.22  0.3428  0.199E-01       -419.25  0.3106 -0.437E-02       -400.65  0.3222 -0.269E-01       -383.92  0.3331 -0.419E-01       -383.73  0.3517 -0.422E-01
          9.0000     -489.51  0.3206  0.379E-01       -469.32  0.3391  0.247E-01       -440.16  0.3074  0.111E-02       -418.15  0.3195 -0.208E-01       -398.80  0.3307 -0.344E-01       -397.35  0.3497 -0.399E-01
         10.0000     -523.85  0.3168  0.420E-01       -499.14  0.3351  0.313E-01       -463.37  0.3038  0.615E-02       -437.93  0.3164 -0.152E-01       -416.54  0.3278 -0.308E-01       -413.66  0.3472 -0.357E-01
         11.0000     -563.82  0.3124  0.470E-01       -534.02  0.3312  0.355E-01       -489.41  0.2999  0.137E-01       -458.82  0.3132 -0.102E-01       -435.41  0.3248 -0.264E-01       -431.32  0.3446 -0.319E-01
         12.0000     -602.25  0.3081  0.426E-01       -569.74  0.3270  0.336E-01       -521.45  0.2962  0.169E-01       -483.14  0.3095 -0.383E-02       -456.89  0.3214 -0.220E-01       -451.69  0.3416 -0.277E-01
         13.0000     -635.33  0.3050  0.365E-01       -601.07  0.3234  0.308E-01       -549.80  0.2928  0.165E-01       -508.43  0.3063  0.193E-02       -476.31  0.3182 -0.170E-01       -469.52  0.3389 -0.241E-01
         14.0000     -676.65  0.3016  0.422E-01       -635.27  0.3202  0.350E-01       -575.13  0.2898  0.175E-01       -530.73  0.3037  0.272E-02       -495.36  0.3155 -0.106E-01       -484.77  0.3366 -0.210E-01
         15.0000     -730.56  0.2972  0.479E-01       -679.23  0.3164  0.374E-01       -606.79  0.2862  0.200E-01       -557.58  0.3006  0.412E-02       -520.92  0.3124 -0.986E-02       -509.14  0.3339 -0.190E-01
         16.0000     -782.95  0.2928  0.433E-01       -725.17  0.3124  0.349E-01       -645.98  0.2824  0.230E-01       -587.41  0.2970  0.538E-02       -548.96  0.3089 -0.828E-02       -536.37  0.3307 -0.164E-01
         17.0000     -806.81  0.2912  0.251E-01       -759.11  0.3093  0.273E-01       -681.10  0.2792  0.202E-01       -615.83  0.2937  0.879E-02       -573.79  0.3058 -0.697E-02       -560.40  0.3279 -0.143E-01
         18.0000     -838.48  0.2894  0.311E-01       -783.95  0.3074  0.286E-01       -700.38  0.2774  0.196E-01       -633.79  0.2920  0.984E-02       -587.22  0.3040 -0.563E-02       -572.02  0.3265 -0.132E-01
         19.0000     -886.55  0.2864  0.348E-01       -823.48  0.3050  0.295E-01       -730.18  0.2750  0.192E-01       -660.57  0.2897  0.100E-01       -608.80  0.3016 -0.327E-02       -591.77  0.3245 -0.118E-01
         20.0000     -946.66  0.2826  0.386E-01       -868.93  0.3020  0.305E-01       -761.95  0.2721  0.196E-01       -688.24  0.2872  0.955E-02       -634.21  0.2990  0.115E-03       -611.35  0.3222 -0.102E-01
         21.0000    -1024.62  0.2784  0.424E-01       -923.58  0.2984  0.315E-01       -803.64  0.2691  0.215E-01       -719.96  0.2844  0.928E-02       -665.04  0.2961 -0.579E-03       -641.44  0.3196 -0.880E-02
         22.0000    -1109.66  0.2744  0.415E-01       -987.37  0.2944  0.327E-01       -850.20  0.2659  0.202E-01       -754.38  0.2813  0.960E-02       -697.37  0.2931 -0.445E-03       -673.35  0.3168 -0.770E-02
         23.0000    -1192.25  0.2704  0.389E-01      -1055.65  0.2911  0.319E-01       -896.31  0.2628  0.192E-01       -792.72  0.2782  0.121E-01       -729.02  0.2901 -0.381E-03       -704.87  0.3140 -0.667E-02
         24.0000    -1301.11  0.2662  0.422E-01      -1126.12  0.2876  0.315E-01       -942.15  0.2598  0.188E-01       -832.93  0.2755  0.113E-01       -759.56  0.2872  0.459E-03       -734.55  0.3115 -0.578E-02
         25.0000    -1405.41  0.2624  0.379E-01      -1204.57  0.2838  0.301E-01       -998.76  0.2564  0.200E-01       -877.13  0.2725  0.106E-01       -799.30  0.2842  0.315E-02       -767.70  0.3086 -0.484E-02
         26.0000    -1544.33  0.2576  0.416E-01      -1289.78  0.2804  0.310E-01      -1054.03  0.2536  0.191E-01       -916.32  0.2699  0.985E-02       -837.69  0.2814  0.238E-02       -803.67  0.3061 -0.389E-02
         27.0000     -445.50  0.3267 -0.639E+00       -734.14  0.3116 -0.333E+00      -1064.45  0.2531  0.137E-01       -926.72  0.2692  0.101E-01       -848.06  0.2807  0.224E-02       -811.46  0.3056 -0.370E-02
         28.0000     -325.62  0.3463 -0.694E+00       -449.62  0.3420 -0.534E+00       -953.23  0.2590 -0.632E-01       -945.17  0.2679  0.971E-02       -865.59  0.2795  0.216E-02       -827.45  0.3046 -0.348E-02
         29.0000     -525.44  0.3166 -0.117E-01       -548.36  0.3295 -0.110E+00       -811.31  0.2685 -0.118E+00       -965.90  0.2665  0.592E-02       -889.59  0.2778  0.202E-02       -850.77  0.3031 -0.321E-02
         30.0000     -649.84  0.3038  0.283E-01       -645.55  0.3193 -0.369E-01       -801.76  0.2692 -0.853E-01       -989.47  0.2652 -0.106E-02       -924.72  0.2754  0.172E-02       -886.36  0.3008 -0.285E-02
         31.0000     -753.75  0.2951  0.287E-01       -734.37  0.3116 -0.102E-01       -836.39  0.2669 -0.560E-01      -1022.25  0.2635 -0.787E-02       -968.65  0.2723  0.173E-02       -931.33  0.2979 -0.240E-02
         32.0000     -867.11  0.2876  0.360E-01       -825.88  0.3048  0.303E-02       -888.50  0.2634 -0.370E-01      -1060.72  0.2616 -0.106E-01      -1026.35  0.2691  0.254E-02       -978.71  0.2948 -0.168E-02
         33.0000     -969.54  0.2810  0.354E-01       -910.41  0.2992  0.928E-02       -939.89  0.2599 -0.249E-01      -1098.05  0.2597 -0.112E-01      -1079.81  0.2663  0.135E-02      -1036.66  0.2920 -0.139E-02
         34.0000    -1085.39  0.2755  0.374E-01       -996.85  0.2939  0.154E-01       -998.76  0.2564 -0.186E-01      -1138.39  0.2577 -0.106E-01      -1132.05  0.2636  0.713E-03      -1090.72  0.2893 -0.117E-02
         35.0000    -1218.83  0.2693  0.397E-01      -1098.98  0.2890  0.175E-01      -1068.61  0.2529 -0.113E-01      -1182.25  0.2555 -0.928E-02      -1183.91  0.2609  0.108E-03      -1146.39  0.2866 -0.978E-03
         36.0000    -1403.29  0.2625  0.461E-01      -1208.08  0.2836  0.210E-01      -1140.51  0.2493 -0.653E-02      -1235.44  0.2529 -0.823E-02      -1242.69  0.2580  0.358E-03      -1206.01  0.2837 -0.796E-03
         37.0000    -1626.54  0.2553  0.460E-01      -1348.72  0.2782  0.240E-01      -1222.60  0.2453 -0.311E-02      -1317.42  0.2499 -0.736E-02      -1329.92  0.2546 -0.118E-03      -1289.71  0.2804 -0.353E-03
         38.0000    -1809.73  0.2504  0.363E-01      -1487.82  0.2732  0.215E-01      -1331.14  0.2413 -0.860E-03      -1401.11  0.2468 -0.573E-02      -1414.84  0.2514 -0.379E-03      -1380.85  0.2771 -0.307E-03
         39.0000    -1939.69  0.2471  0.289E-01      -1607.40  0.2693  0.205E-01      -1413.12  0.2382  0.573E-03      -1464.42  0.2444 -0.464E-02      -1479.28  0.2489 -0.545E-03      -1448.27  0.2746 -0.228E-03
         40.0000    -1027.07  0.2784 -0.172E+00      -1475.65  0.2736 -0.316E-01      -1451.35  0.2368  0.146E-02      -1484.35  0.2437 -0.400E-02      -1500.68  0.2481 -0.699E-03      -1471.16  0.2738 -0.204E-03
         41.0000    -1408.15  0.2623  0.169E-01      -1436.31  0.2751 -0.161E-01      -1511.02  0.2346  0.578E-03      -1533.78  0.2418 -0.321E-02      -1549.41  0.2462 -0.738E-03      -1522.90  0.2719 -0.169E-03
         42.0000     -275.50  0.3569 -0.127E+01       -464.71  0.3397 -0.901E+00      -1552.17  0.2331 -0.738E-02      -1597.07  0.2399 -0.307E-02      -1615.95  0.2442 -0.629E-03      -1584.07  0.2699  0.880E-04
         43.0000     -578.24  0.3108  0.417E-03       -615.39  0.3219 -0.133E+00      -1305.16  0.2422 -0.914E-01      -1698.62  0.2371 -0.243E-02      -1714.42  0.2415 -0.670E-03      -1687.55  0.2672  0.809E-04
         44.0000     -767.26  0.2939  0.341E-01       -766.90  0.3087 -0.452E-01      -1210.30  0.2460 -0.853E-01      -1814.45  0.2340 -0.243E-02      -1829.89  0.2382 -0.633E-03      -1808.76  0.2639  0.693E-04
         45.0000     -929.95  0.2835  0.328E-01       -904.58  0.2995 -0.164E-01      -1235.69  0.2447 -0.630E-01      -1918.89  0.2311 -0.307E-02      -1941.39  0.2350 -0.554E-03      -1925.66  0.2607  0.583E-04
         46.0000    -1022.84  0.2782  0.128E-01      -1010.83  0.2932 -0.126E-01      -1301.63  0.2424 -0.482E-01      -2024.99  0.2287 -0.479E-02      -2077.52  0.2321 -0.481E-03      -2061.22  0.2578  0.228E-03
         47.0000    -1183.84  0.2708  0.373E-01      -1107.88  0.2885  0.699E-04      -1328.74  0.2412 -0.381E-01      -2044.33  0.2283 -0.608E-02      -2125.12  0.2310 -0.514E-03      -2110.46  0.2568  0.209E-03
         48.0000    -1380.16  0.2634  0.379E-01      -1243.82  0.2821  0.717E-02      -1424.02  0.2378 -0.278E-01      -2172.37  0.2258 -0.654E-02      -2280.09  0.2279 -0.456E-03      -2271.10  0.2536  0.169E-03
         49.0000    -1619.34  0.2555  0.411E-01      -1401.12  0.2763  0.110E-01      -1520.87  0.2342 -0.214E-01      -2281.93  0.2235 -0.660E-02      -2417.89  0.2250 -0.407E-03      -2413.75  0.2508  0.148E-03
         50.0000    -2006.85  0.2457  0.503E-01      -1580.44  0.2701  0.162E-01      -1646.69  0.2305 -0.172E-01      -2415.07  0.2209 -0.609E-02      -2606.72  0.2218 -0.377E-03      -2607.31  0.2476  0.242E-03
         51.0000    -2250.11  0.2410  0.304E-01      -1805.59  0.2640  0.142E-01      -1815.62  0.2260 -0.115E-01      -2637.98  0.2173 -0.630E-02      -2871.98  0.2178 -0.320E-03      -2879.76  0.2436  0.185E-03
         52.0000    -1913.35  0.2479 -0.191E-01      -1924.94  0.2607  0.698E-02      -1922.43  0.2231 -0.918E-02      -2760.61  0.2155 -0.574E-02      -3020.24  0.2155 -0.297E-03      -3031.82  0.2413  0.163E-03
         53.0000    -2357.41  0.2389  0.244E-01      -2066.93  0.2577  0.628E-02      -2077.68  0.2198 -0.783E-02      -2922.98  0.2131 -0.499E-02      -3233.55  0.2128 -0.295E-03      -3254.44  0.2386  0.216E-03
         54.0000    -2926.92  0.2302  0.321E-01      -2271.07  0.2536  0.816E-02      -2243.42  0.2165 -0.570E-02      -3106.09  0.2104 -0.463E-02      -3493.28  0.2099 -0.270E-03      -3518.44  0.2357  0.185E-03
         55.0000    -3638.51  0.2221  0.333E-01      -2511.20  0.2490  0.105E-01      -2409.40  0.2133 -0.437E-02      -3343.07  0.2078 -0.445E-02      -3755.34  0.2070 -0.233E-03      -3784.80  0.2328  0.151E-03
         56.0000    -3424.39  0.2243  0.805E-02      -2675.12  0.2466  0.104E-01      -2495.07  0.2117 -0.450E-02      -3423.39  0.2069 -0.417E-02      -3856.26  0.2059 -0.225E-03      -3887.15  0.2317  0.138E-03
         57.0000    -3667.67  0.2217  0.164E-01      -2819.46  0.2444  0.894E-02      -2607.23  0.2101 -0.368E-02      -3524.97  0.2059 -0.384E-02      -3986.43  0.2045 -0.262E-03      -4030.39  0.2304  0.186E-03
         58.0000    -4250.92  0.2165  0.220E-01      -2996.62  0.2419  0.847E-02      -2748.91  0.2081 -0.284E-02      -3668.36  0.2044 -0.342E-02      -4199.09  0.2029 -0.252E-03      -4244.21  0.2287  0.175E-03
         59.0000    -5165.51  0.2098  0.246E-01      -3251.42  0.2386  0.899E-02      -2922.05  0.2056 -0.210E-02      -3862.66  0.2023 -0.298E-02      -4474.05  0.2006 -0.227E-03      -4520.51  0.2265  0.151E-03
         60.0000    -6463.36  0.2027  0.250E-01      -3550.42  0.2353  0.849E-02      -3110.02  0.2029 -0.178E-02      -4126.66  0.2000 -0.309E-02      -4771.52  0.1982 -0.192E-03      -4819.65  0.2241  0.124E-03
         61.0000    -8883.06  0.1937  0.287E-01      -3886.16  0.2316  0.838E-02      -3363.92  0.2001 -0.158E-02      -4429.61  0.1976 -0.257E-02      -5118.14  0.1957 -0.203E-03      -5184.27  0.2216  0.148E-03
         62.0000   -13602.14  0.1827  0.299E-01      -4370.64  0.2276  0.816E-02      -3684.14  0.1968 -0.110E-02      -4824.52  0.1945 -0.201E-02      -5656.47  0.1926 -0.166E-03      -5719.87  0.2184  0.118E-03
         63.0000   -16011.46  0.1788  0.190E-01      -4913.53  0.2232  0.704E-02      -4059.15  0.1932 -0.970E-03      -5353.56  0.1912 -0.197E-02      -6236.52  0.1892 -0.120E-03      -6303.67  0.2150  0.116E-03
         64.0000   -17762.26  0.1766  0.144E-01      -5481.59  0.2198  0.646E-02      -4456.76  0.1902 -0.714E-03      -5848.05  0.1884 -0.153E-02      -6895.43  0.1863 -0.127E-03      -6967.20  0.2121  0.948E-04
         65.0000   -19198.88  0.1748  0.111E-01      -6060.72  0.2164  0.555E-02      -4837.11  0.1873 -0.521E-03      -6363.10  0.1856 -0.140E-02      -7547.15  0.1835 -0.959E-04      -7606.51  0.2093  0.740E-04
         66.0000   -20627.81  0.1734  0.903E-02      -6769.62  0.2130  0.486E-02      -5359.28  0.1841 -0.515E-03      -7081.70  0.1827 -0.117E-02      -8379.66  0.1805 -0.101E-03      -8443.36  0.2064  0.825E-04
         67.0000   -21884.91  0.1722  0.740E-02      -7494.84  0.2098  0.398E-02      -5882.80  0.1812 -0.347E-03      -7744.39  0.1798 -0.884E-03      -9243.92  0.1778 -0.634E-04      -9269.07  0.2037  0.502E-04
         68.0000   -23034.93  0.1711  0.636E-02      -8259.45  0.2069  0.332E-02      -6433.54  0.1784 -0.348E-03      -8585.42  0.1771 -0.912E-03      -9944.45  0.1756 -0.460E-04      -9952.61  0.2014  0.369E-04
         69.0000   -24040.35  0.1703  0.560E-02      -8965.87  0.2046  0.263E-02      -7037.28  0.1760 -0.255E-03      -9258.91  0.1750 -0.595E-03     -10616.05  0.1739 -0.428E-04     -10597.37  0.1997  0.351E-04
         70.0000   -24968.05  0.1696  0.502E-02      -9749.95  0.2021  0.199E-02      -7726.42  0.1732 -0.190E-03     -10021.13  0.1728 -0.455E-03     -11349.89  0.1722 -0.321E-04     -11304.52  0.1980  0.259E-04
         71.0000   -25748.64  0.1690  0.460E-02     -10074.56  0.2010  0.176E-02      -8105.08  0.1718 -0.209E-03     -10347.13  0.1719 -0.406E-03     -11625.44  0.1715 -0.291E-04     -11570.47  0.1973  0.233E-04
         72.0000   -26460.86  0.1684  0.429E-02     -10889.42  0.1991  0.143E-02      -9044.97  0.1692 -0.143E-03     -11149.98  0.1702 -0.314E-03     -12296.21  0.1702 -0.229E-04     -12218.10  0.1961  0.178E-04
         73.0000   -27139.98  0.1680  0.396E-02     -11490.00  0.1975  0.112E-02      -9722.87  0.1670 -0.947E-04     -11734.63  0.1688 -0.237E-03     -12744.56  0.1693 -0.181E-04     -12655.65  0.1951  0.137E-04
         74.0000   -11026.71  0.1878 -0.416E-01     -12089.32  0.1962  0.901E-03     -10469.85  0.1652 -0.782E-04     -12308.38  0.1677 -0.183E-03     -13176.42  0.1685 -0.146E-04     -13081.13  0.1943  0.105E-04
         75.0000    -2927.32  0.2302 -0.144E+00     -12601.46  0.1952  0.555E-03     -11209.91  0.1635 -0.590E-04     -12813.26  0.1667 -0.139E-03     -13538.77  0.1678 -0.117E-04     -13442.54  0.1936  0.789E-05
         76.0000    -4965.94  0.2109  0.346E-02     -12811.73  0.1948 -0.552E-03     -11912.81  0.1621 -0.441E-04     -13264.41  0.1659 -0.105E-03     -13853.06  0.1673 -0.936E-05     -13759.69  0.1930  0.575E-05
         77.0000    -7865.39  0.1968  0.121E-01     -12788.72  0.1948 -0.119E-02     -12526.68  0.1609 -0.332E-04     -13637.28  0.1653 -0.788E-04     -14106.50  0.1669 -0.757E-05     -14018.99  0.1925  0.410E-05
         78.0000   -13253.96  0.1832  0.177E-01     -12889.93  0.1946 -0.113E-02     -13090.20  0.1599 -0.246E-04     -13964.64  0.1647 -0.578E-04     -14324.66  0.1665 -0.609E-05     -14245.43  0.1922  0.272E-05
         79.0000   -17575.47  0.1767  0.111E-01     -13194.82  0.1940 -0.818E-03     -13612.80  0.1590 -0.176E-04     -14257.79  0.1643 -0.406E-04     -14516.99  0.1662 -0.484E-05     -14447.76  0.1918  0.154E-05
         80.0000   -20545.13  0.1735  0.748E-02     -13579.78  0.1933 -0.522E-03     -14043.67  0.1583 -0.123E-04     -14490.95  0.1639 -0.276E-04     -14668.06  0.1660 -0.388E-05     -14610.59  0.1915  0.618E-06
         81.0000   -22576.70  0.1714  0.583E-02     -13861.07  0.1928 -0.335E-03     -14294.40  0.1579 -0.934E-05     -14623.32  0.1637 -0.203E-04     -14753.53  0.1658 -0.334E-05     -14705.48  0.1914  0.866E-07
         82.0000   -24347.20  0.1700  0.480E-02     -14146.06  0.1923 -0.191E-03     -14516.12  0.1576 -0.696E-05     -14740.38  0.1635 -0.143E-04     -14829.07  0.1657 -0.288E-05     -14790.17  0.1912 -0.375E-06
         83.0000   -25685.34  0.1690  0.421E-02     -14355.02  0.1919 -0.984E-04     -14648.88  0.1574 -0.549E-05     -14809.86  0.1634 -0.107E-04     -14874.06  0.1656 -0.260E-05     -14842.45  0.1911 -0.658E-06
         84.0000   -26841.71  0.1682  0.377E-02     -14544.81  0.1916 -0.306E-04     -14759.91  0.1572 -0.430E-05     -14868.42  0.1633 -0.783E-05     -14912.07  0.1656 -0.237E-05     -14887.08  0.1911 -0.901E-06
         85.0000   -27809.09  0.1675  0.344E-02     -14724.35  0.1913  0.146E-04     -14854.91  0.1571 -0.319E-05     -14918.91  0.1633 -0.534E-05     -14945.07  0.1655 -0.217E-05     -14927.19  0.1910 -0.112E-05
         86.0000   -28660.37  0.1669  0.318E-02     -14834.12  0.1911  0.478E-04     -14904.68  0.1570 -0.262E-05     -14945.83  0.1632 -0.403E-05     -14962.89  0.1655 -0.206E-05     -14949.47  0.1910 -0.124E-05
         87.0000   -29409.94  0.1665  0.297E-02     -14878.76  0.1910  0.876E-04     -14908.79  0.1570 -0.265E-05     -14947.92  0.1632 -0.390E-05     -14964.30  0.1655 -0.205E-05     -14951.17  0.1910 -0.124E-05
         88.0000   -30083.41  0.1661  0.279E-02     -14962.37  0.1909  0.114E-03     -14941.40  0.1570 -0.224E-05     -14965.88  0.1632 -0.305E-05     -14976.30  0.1655 -0.197E-05     -14966.64  0.1910 -0.133E-05
         89.0000   -30692.45  0.1657  0.264E-02     -15021.07  0.1908  0.148E-03     -14955.71  0.1570 -0.205E-05     -14973.98  0.1632 -0.266E-05     -14981.83  0.1655 -0.194E-05     -14974.07  0.1909 -0.137E-05
         90.0000   -31248.72  0.1654  0.252E-02     -15086.67  0.1907  0.180E-03     -14972.59  0.1569 -0.181E-05     -14983.50  0.1632 -0.222E-05     -14988.30  0.1655 -0.190E-05     -14982.73  0.1909 -0.141E-05
         91.0000   -31760.07  0.1651  0.241E-02     -15153.64  0.1906  0.216E-03     -14978.59  0.1569 -0.172E-05     -14987.03  0.1632 -0.205E-05     -14990.75  0.1655 -0.188E-05     -14986.21  0.1909 -0.143E-05
         92.0000   -32233.10  0.1648  0.231E-02     -15224.77  0.1905  0.250E-03     -14985.29  0.1569 -0.162E-05     -14990.92  0.1631 -0.188E-05     -14993.44  0.1655 -0.187E-05     -14989.95  0.1909 -0.146E-05
         93.0000   -32672.99  0.1646  0.222E-02     -15297.95  0.1904  0.280E-03     -14988.67  0.1569 -0.156E-05     -14992.95  0.1631 -0.178E-05     -14994.88  0.1655 -0.186E-05     -14992.07  0.1909 -0.147E-05
         94.0000   -33084.03  0.1644  0.214E-02     -15373.12  0.1903  0.308E-03     -14991.90  0.1569 -0.151E-05     -14994.88  0.1631 -0.170E-05     -14996.25  0.1655 -0.185E-05     -14994.05  0.1909 -0.148E-05
         95.0000   -33469.66  0.1642  0.208E-02     -15449.48  0.1901  0.334E-03     -14993.40  0.1569 -0.148E-05     -14995.80  0.1631 -0.166E-05     -14996.91  0.1655 -0.185E-05     -14995.05  0.1909 -0.148E-05
         96.0000   -33832.86  0.1640  0.201E-02     -15526.67  0.1900  0.357E-03     -14995.24  0.1569 -0.144E-05     -14996.94  0.1631 -0.161E-05     -14997.72  0.1655 -0.184E-05     -14996.27  0.1909 -0.149E-05
         97.0000   -34176.03  0.1638  0.195E-02     -15604.30  0.1899  0.378E-03     -14996.15  0.1569 -0.142E-05     -14997.52  0.1631 -0.158E-05     -14998.14  0.1655 -0.184E-05     -14996.93  0.1909 -0.149E-05
         98.0000   -34501.30  0.1636  0.190E-02     -15682.11  0.1898  0.397E-03     -14997.33  0.1569 -0.139E-05     -14998.25  0.1631 -0.155E-05     -14998.67  0.1655 -0.184E-05     -14997.76  0.1909 -0.149E-05
         99.0000   -34810.41  0.1635  0.185E-02     -15759.83  0.1897  0.415E-03     -14998.03  0.1569 -0.137E-05     -14998.70  0.1631 -0.153E-05     -14999.01  0.1655 -0.183E-05     -14998.29  0.1909 -0.150E-05
        100.0000   -35104.90  0.1633  0.181E-02     -15837.31  0.1896  0.430E-03     -14998.64  0.1569 -0.135E-05     -14999.09  0.1631 -0.151E-05     -14999.30  0.1655 -0.184E-05     -14998.77  0.1909 -0.150E-05
        101.0000   -35386.10  0.1632  0.177E-02     -15914.40  0.1894  0.445E-03     -14999.01  0.1569 -0.133E-05     -14999.32  0.1631 -0.150E-05     -14999.47  0.1655 -0.183E-05     -14999.05  0.1909 -0.150E-05
        102.0000   -35655.21  0.1631  0.173E-02     -15990.98  0.1893  0.458E-03     -14999.27  0.1569 -0.132E-05     -14999.49  0.1631 -0.150E-05     -14999.60  0.1655 -0.183E-05     -14999.27  0.1909 -0.150E-05
        103.0000   -35913.20  0.1629  0.169E-02     -16066.96  0.1892  0.470E-03     -14999.46  0.1569 -0.130E-05     -14999.62  0.1631 -0.149E-05     -14999.69  0.1655 -0.183E-05     -14999.44  0.1909 -0.150E-05
        104.0000   -36161.00  0.1628  0.166E-02     -16142.28  0.1891  0.480E-03     -14999.63  0.1569 -0.129E-05     -14999.73  0.1631 -0.149E-05     -14999.79  0.1655 -0.183E-05     -14999.59  0.1909 -0.151E-05
        105.0000   -36399.38  0.1627  0.163E-02     -16216.88  0.1890  0.490E-03     -14999.75  0.1569 -0.127E-05     -14999.80  0.1631 -0.149E-05     -14999.83  0.1655 -0.182E-05     -14999.67  0.1909 -0.151E-05
        106.0000   -36629.04  0.1626  0.160E-02     -16290.72  0.1889  0.499E-03     -14999.84  0.1569 -0.124E-05     -14999.85  0.1631 -0.148E-05     -14999.88  0.1655 -0.183E-05     -14999.75  0.1909 -0.150E-05
        107.0000   -36850.60  0.1625  0.157E-02     -16363.78  0.1888  0.507E-03     -14999.93  0.1569 -0.119E-05     -14999.89  0.1631 -0.148E-05     -14999.90  0.1655 -0.183E-05     -14999.81  0.1909 -0.151E-05
        108.0000   -37064.66  0.1624  0.154E-02     -16436.02  0.1887  0.514E-03     -15000.03  0.1569 -0.113E-05     -14999.91  0.1631 -0.148E-05     -14999.92  0.1655 -0.183E-05     -14999.85  0.1909 -0.151E-05
        109.0000   -37271.73  0.1623  0.151E-02     -16507.46  0.1886  0.521E-03     -15000.14  0.1569 -0.104E-05     -14999.94  0.1631 -0.148E-05     -14999.95  0.1655 -0.183E-05     -14999.89  0.1909 -0.151E-05
        110.0000   -37472.23  0.1622  0.149E-02     -16578.07  0.1885  0.527E-03     -15000.30  0.1569 -0.927E-06     -14999.95  0.1631 -0.148E-05     -14999.96  0.1655 -0.183E-05     -14999.92  0.1909 -0.151E-05
        111.0000   -37666.62  0.1621  0.147E-02     -16647.86  0.1884  0.533E-03     -15000.48  0.1569 -0.789E-06     -14999.97  0.1631 -0.148E-05     -14999.97  0.1655 -0.183E-05     -14999.94  0.1909 -0.151E-05
        112.0000   -37855.20  0.1620  0.144E-02     -16716.82  0.1883  0.538E-03     -15000.72  0.1569 -0.633E-06     -14999.97  0.1631 -0.148E-05     -14999.97  0.1655 -0.182E-05     -14999.95  0.1909 -0.151E-05
        113.0000   -38038.42  0.1620  0.142E-02     -16784.96  0.1882  0.542E-03     -15000.99  0.1569 -0.453E-06     -14999.98  0.1631 -0.148E-05     -14999.98  0.1655 -0.183E-05     -14999.96  0.1909 -0.151E-05
        114.0000   -38216.49  0.1619  0.140E-02     -16852.29  0.1881  0.547E-03     -15001.32  0.1569 -0.243E-06     -14999.99  0.1631 -0.148E-05     -14999.99  0.1655 -0.182E-05     -14999.96  0.1909 -0.151E-05
        115.0000   -38389.77  0.1618  0.138E-02     -16918.81  0.1880  0.550E-03     -15001.71  0.1569 -0.145E-07     -14999.99  0.1631 -0.147E-05     -14999.99  0.1655 -0.183E-05     -14999.98  0.1909 -0.151E-05
        116.0000   -38377.88  0.1618  0.123E-02     -16985.11  0.1879  0.554E-03     -15002.12  0.1569  0.228E-06     -14999.99  0.1631 -0.148E-05     -14999.99  0.1655 -0.183E-05     -14999.98  0.1909 -0.151E-05
        117.0000   -12487.06  0.1847 -0.460E-01     -17050.53  0.1878  0.557E-03     -15002.59  0.1569  0.490E-06     -14999.99  0.1631 -0.148E-05     -14999.99  0.1655 -0.183E-05     -14999.98  0.1909 -0.151E-05
        118.0000     -750.60  0.2954 -0.718E+00     -12189.08  0.1960 -0.612E-01     -15003.17  0.1569  0.780E-06     -14999.99  0.1631 -0.148E-05     -14999.99  0.1655 -0.183E-05     -14999.98  0.1909 -0.151E-05
        119.0000    -1585.10  0.2564 -0.293E-01      -3765.80  0.2329 -0.828E-01     -15003.79  0.1569  0.111E-05     -14999.99  0.1631 -0.148E-05     -14999.99  0.1655 -0.183E-05     -14999.98  0.1909 -0.151E-05
